# Accelerometer Data File
# Started @Sun Jan 24 20:56:24 GMT+02:00 2021
#
#
# sensor Vendor: BOSCH
# sensor Name: BMI160 Accelerometer Non-wakeup
# sensor Resolution: 0.0023928226m/sec^2; Max Range: 78.4532; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:NORMAL
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
6.364 8.955 -4.429 21
4.093 5.248 4.962 20
2.449 0.198 2.4 20
5.692 -7.047 4.853 20
3.941 -14.977 -2.056 20
-3.959 -30.509 -4.442 21
-12.678 -25.509 0.548 20
-3.349 -5.836 4.18 20
8.116 2.756 3.779 20
4.622 7.724 1.023 20
-0.931 11.843 3.995 20
-0.138 10.547 2.641 21
-3.062 10.652 0.404 20
-6.201 11.531 0.855 20
-6.452 11.182 3.296 20
-5.971 10.596 3.706 20
-5.449 10.589 0.485 20
-3.112 8.941 -5.97 21
1.753 5.219 -7.561 20
4.049 1.547 -4.893 20
-2.092 -3.039 -6.451 20
-7.273 0.838 5.96 20
-6.466 -9.779 12.528 20
-7.626 -25.846 19.733 21
1.977 -21.922 16.576 20
15.237 -13.294 -3.382 20
17.79 -6.573 -19.408 20
17.177 -3.822 -8.899 20
5.894 -3.289 -5.304 20
-4.267 0.187 -5.327 21
-8.342 5.663 -0.444 20
-5.507 8.122 -2.855 20
-3.305 9.573 -6.78 20
-2.621 11.311 -5.181 20
0.719 10.708 -0.537 20
4.782 8.361 -2.829 21
5.138 5.554 -5.351 20
-0.527 2.741 3.342 20
-1.32 -1.466 6.815 20
3.783 -6.009 10.21 20
6.759 -15.683 -2.234 21
3.578 -31.032 -6.918 20
-7.112 -25.187 2.164 20
-1.539 -6.328 8.098 20
4.517 1.888 3.3 20
-1.652 7.846 1.73 20
-4.705 11.444 3.114 21
-3.228 11.729 1.83 20
-5.716 12.971 0.573 20
-7.37 13.922 0.559 20
-6.807 13.597 1.027 20
-5.37 12.25 0.87 20
-4.033 11.26 -2.176 21
-2.276 9.481 -6.061 20
1.271 5.935 -3.637 20
3.369 2.737 -1.523 20
