# Accelerometer Data File
# Started @Sun Jan 24 20:43:55 GMT+02:00 2021
#
#
# sensor Vendor: BOSCH
# sensor Name: BMI160 Accelerometer Non-wakeup
# sensor Resolution: 0.0023928226m/sec^2; Max Range: 78.4532; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:NORMAL
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
-2.142 3.817 -5.021 20
-1.578 1.15 -3.372 21
1.75 -4.274 -3.3 20
7.517 -12.666 -6.094 20
9.285 -16.134 -3.826 20
4.137 -7.009 -3.963 20
-0.796 2.64 1.889 20
-3.994 3.629 7.331 21
-4.86 -0.789 6.71 20
-3.009 -1.35 3.45 20
-2.525 3.161 -0.73 20
-2.977 7.018 1.194 20
-1.722 6.275 4.91 21
-0.938 2.423 3.656 20
1.292 -1.941 2.764 20
2.217 -5.022 3.548 20
1.012 -3.331 -1.518 20
1.629 0.797 -4.018 20
3.029 2.08 -0.363 21
2.631 0.557 1.076 20
1.156 -0.94 0.194 20
-0.155 -0.152 -0.428 20
-1.841 1.387 0.002 20
-3.116 1.867 1.125 20
-3.044 1.419 1.515 21
-1.78 0.184 0.68 20
0.051 -1.064 -1.028 20
1.546 -1.62 -2.236 20
1.959 -1.816 -1.441 20
1.745 -1.858 0.623 21
2.433 -1.526 1.287 20
3.171 -2.037 -0.175 20
2.604 -4.0 -1.451 20
1.399 -4.917 -1.754 20
-0.392 -2.401 -2.355 20
-0.462 0.022 -0.809 21
-1.289 0.421 -1.133 20
-4.105 -1.841 -1.024 20
-7.112 -3.332 3.627 20
-8.511 -2.311 5.245 20
-4.54 -1.181 -0.369 21
2.59 -1.104 -4.312 20
2.346 0.953 -1.425 20
1.585 3.216 1.494 20
3.431 4.326 1.299 20
4.212 4.743 1.421 20
2.771 4.924 1.738 21
1.137 4.895 1.286 20
-0.064 4.457 0.623 20
-1.187 3.985 0.556 20
-1.83 3.884 -0.199 20
-1.903 4.296 -1.369 20
-1.709 4.957 -3.287 21
-1.732 5.291 -5.429 20
-0.976 3.412 -5.002 20
1.843 -1.692 -3.853 20
6.738 -9.485 -6.667 20
9.645 -15.802 -3.234 20
5.016 -7.696 -1.035 21
0.498 1.324 -0.188 20
-2.72 3.28 3.441 20
-5.273 -0.343 5.227 20
-6.257 -4.961 5.228 20
-3.063 -4.75 -2.178 21
0.071 1.489 -1.817 20
-0.679 6.653 5.676 20
-1.07 6.313 7.109 20
-0.023 2.68 4.01 20
2.557 -1.827 2.369 20
1.738 -3.785 1.36 21
0.344 -1.124 -2.561 20
-0.024 2.323 -3.087 20
-0.36 2.746 0.472 20
-0.742 1.014 2.682 20
-0.243 -0.479 2.429 20
0.727 -0.737 0.454 21
0.094 0.133 -1.069 20
-1.465 0.34 -1.046 20
-2.269 0.094 -1.297 20
-1.098 -0.201 -1.353 20
1.057 -0.61 -0.916 21
2.232 -1.135 -0.391 20
2.062 -1.515 0.264 20
1.628 -1.426 1.048 20
1.674 -1.286 0.861 20
1.688 -2.289 -0.226 20
2.043 -4.307 -1.624 21
1.81 -3.971 -3.079 20
0.696 -0.495 -0.994 20
0.792 0.966 0.12 20
-0.448 0.175 -1.194 20
-2.626 -2.409 1.669 20
-5.576 -4.124 3.74 21
-8.834 -3.729 2.204 20
-4.902 -2.45 -0.909 20
1.712 -1.041 -2.517 20
-0.269 1.77 -1.648 20
-0.553 3.65 1.167 21
2.839 4.091 1.402 20
3.963 4.393 1.238 20
3.163 4.596 1.427 20
1.978 4.622 0.952 20
0.633 4.834 0.266 20
-0.3 4.853 0.511 21
-0.802 4.808 -0.246 20
-1.401 4.762 -1.705 20
-1.813 4.601 -3.261 20
-1.905 3.947 -3.922 20
-1.493 1.521 -2.823 20
0.065 -3.632 -2.019 21
5.362 -12.569 -5.435 20
8.81 -16.135 -7.267 20
6.422 -6.622 -4.518 20
0.446 2.557 -0.367 20
-4.261 3.504 4.871 21
-6.096 -1.651 6.853 20
-3.719 -4.433 6.454 20
-1.13 0.341 1.842 20
-2.753 7.074 -0.536 20
-2.816 8.846 3.018 20
-1.534 6.191 4.833 21
-0.753 0.844 2.058 20
0.949 -4.834 2.37 20
1.546 -6.726 1.585 20
2.206 -2.863 -3.988 20
3.456 1.441 -1.606 20
3.757 2.036 1.596 21
2.019 0.994 0.949 20
0.366 -0.178 0.265 20
-1.433 0.714 -0.209 20
-2.665 1.721 0.262 20
-2.731 1.521 1.212 21
-2.246 0.42 1.119 20
-0.998 -0.835 -0.262 20
1.067 -1.043 -1.706 20
2.483 -0.865 -1.574 20
2.316 -1.429 -0.278 20
1.106 -2.543 0.294 21
0.154 -2.513 -0.066 20
0.439 -2.339 -0.437 20
1.984 -4.054 -0.792 20
3.342 -5.397 -1.5 20
1.994 -2.747 -2.354 21
0.195 0.422 -1.33 20
-2.273 1.022 -2.04 20
-5.46 -0.735 0.862 20
-7.346 -1.64 6.701 20
-7.84 -1.004 5.526 20
-1.85 -2.072 -3.971 21
3.496 -3.018 -4.598 20
1.357 -0.01 1.799 20
0.874 3.394 1.418 20
3.356 4.723 -0.014 20
3.094 5.676 0.5 20
2.105 5.93 0.943 21
1.192 5.895 0.672 20
-0.306 5.868 0.68 20
-1.481 5.488 0.589 20
-1.774 4.715 -0.424 20
-1.746 3.972 -1.766 21
-1.116 3.359 -3.767 20
-0.502 2.745 -4.6 20
0.394 0.841 -4.36 20
2.511 -3.212 -4.353 20
5.705 -7.981 -5.911 20
6.596 -10.5 -4.337 21
4.516 -7.92 -0.607 20
0.058 -3.941 0.468 20
-3.17 -2.32 2.78 20
-4.409 -2.049 4.914 20
-3.186 -2.118 6.279 20
-2.574 1.913 1.982 21
-3.92 6.84 -1.516 20
-4.225 7.878 1.204 20
-2.757 4.868 3.727 20
-1.496 0.554 3.352 20
1.889 -3.459 5.412 20
3.574 -5.573 4.789 21
4.063 -3.069 -1.986 20
4.578 1.118 -3.314 20
4.372 2.287 -0.788 20
1.721 1.01 -0.153 20
-1.074 -0.426 -0.321 21
-2.254 0.01 -0.455 20
-2.658 1.005 0.245 20
-3.112 1.614 1.529 20
-2.656 1.523 1.445 20
-1.472 0.547 -0.231 20
0.366 -0.666 -1.439 21
2.302 -1.475 -0.851 20
3.094 -2.433 0.024 20
2.054 -2.397 0.048 20
1.169 -1.416 0.321 20
1.658 -2.104 -0.105 20
2.542 -4.606 -1.802 21
2.042 -4.919 -2.706 20
-0.216 -1.036 -1.892 20
-0.903 1.016 -0.685 20
-2.221 -0.206 -0.832 20
-4.562 -3.046 2.236 21
-6.551 -3.636 5.249 20
-7.299 -2.468 3.631 20
-1.304 -1.213 -1.723 20
3.385 -0.582 -3.284 20
0.619 1.799 -0.715 20
1.281 3.529 1.93 21
3.27 4.461 1.161 20
2.652 5.276 0.943 20
1.505 5.637 1.261 20
0.552 5.504 0.57 20
-0.571 4.943 0.157 20
-1.243 4.326 0.357 21
-1.465 3.999 -0.35 20
-1.362 4.194 -2.144 20
-1.336 4.501 -4.818 20
-1.286 3.878 -5.85 20
-0.077 0.418 -3.973 21
3.756 -6.358 -4.212 20
8.331 -15.741 -5.673 20
6.642 -13.554 -3.346 20
1.967 -0.468 -2.757 20
-1.684 6.257 0.708 20
-4.868 6.541 5.324 21
-6.516 -0.533 6.362 20
-4.42 -7.866 4.024 20
0.141 -7.374 -3.248 20
1.61 1.408 2.545 20
-1.025 7.724 7.859 21
-1.535 7.113 5.929 20
0.481 2.411 1.533 20
1.778 -2.285 1.498 20
-0.57 -3.947 1.383 20
-1.526 -0.836 -3.334 20
-0.479 2.011 -3.276 21
1.317 0.941 1.246 20
2.412 -1.104 2.546 20
2.66 -1.17 0.612 20
1.745 0.408 -1.177 20
-0.712 1.604 -0.708 20
-2.622 1.407 0.528 21
-2.5 0.695 0.771 20
-0.971 -0.296 -0.086 20
0.666 -0.609 -1.157 20
1.404 -0.805 -1.384 20
1.072 -1.451 0.016 21
1.126 -1.64 1.569 20
1.772 -1.913 0.979 20
1.94 -3.425 -0.854 20
2.121 -4.857 -1.958 20
1.512 -3.444 -2.761 20
0.468 -0.491 -1.846 21
0.307 0.702 -0.387 20
-1.122 -0.148 -1.81 20
-3.321 -2.479 1.366 20
-6.003 -3.332 5.535 20
-7.541 -2.512 4.014 21
-1.906 -1.853 -2.456 20
2.169 -1.196 -3.993 20
-0.16 1.665 0.314 20
1.013 3.653 1.858 20
3.072 4.626 0.345 20
2.713 5.515 0.849 21
1.821 5.572 0.848 20
0.774 5.193 0.375 20
-0.49 4.808 0.417 20
-1.293 4.325 0.682 20
-1.431 4.065 -0.259 21
-1.437 4.285 -1.988 20
-1.366 4.633 -4.227 20
-0.992 3.803 -5.383 20
0.546 0.271 -4.491 20
4.577 -5.283 -4.307 20
8.888 -12.357 -4.855 21
6.921 -12.969 -2.343 20
2.297 -2.382 -2.186 20
-1.278 3.924 0.101 20
-4.35 4.534 4.569 20
-5.534 -0.359 5.276 20
-5.185 -5.508 4.88 21
-3.287 -6.372 -3.899 20
0.128 -0.698 -1.271 20
-1.13 6.235 6.433 20
-1.778 6.879 6.629 20
0.169 3.339 4.148 21
1.911 -0.872 3.141 20
1.722 -3.98 3.978 20
0.97 -2.39 -1.016 20
0.949 1.83 -5.032 20
1.298 2.477 -1.944 20
0.424 0.533 1.313 21
-0.251 -0.632 1.443 20
0.221 -0.168 0.354 20
-0.205 0.656 -0.385 20
-1.474 0.351 -0.23 20
-1.699 -0.511 -0.421 20
-0.617 -0.641 -0.943 21
0.616 -0.234 -1.026 20
0.753 -0.15 -0.68 20
0.091 -0.969 0.616 20
-0.001 -1.741 1.553 20
0.679 -2.102 0.861 20
1.418 -3.084 -0.908 21
2.151 -4.392 -1.994 20
2.54 -3.813 -2.644 20
1.365 -0.739 -1.5 20
0.81 0.645 -0.264 20
-1.314 0.248 -1.018 21
-3.746 -2.438 1.47 20
-6.238 -3.591 4.436 20
-7.632 -2.682 3.915 20
-2.174 -1.491 -1.12 20
1.816 -0.34 -3.664 20
0.392 2.011 -0.659 21
1.575 3.347 1.935 20
3.503 3.799 0.929 20
3.038 4.765 0.644 20
2.124 5.295 1.104 20
1.127 5.175 0.568 20
-0.026 4.806 0.572 21
-0.957 4.425 0.655 20
-1.327 4.247 -0.727 20
-1.339 4.252 -2.463 20
-0.974 4.208 -4.185 20
-0.734 3.386 -4.493 21
-0.165 0.432 -3.608 20
2.89 -4.696 -3.59 20
7.254 -10.036 -5.51 20
8.71 -12.314 -2.982 20
3.838 -5.425 -1.701 20
-0.501 1.092 -0.446 21
-3.89 2.356 3.683 20
-6.996 -0.929 6.424 20
-4.491 -3.966 6.43 20
-1.138 -1.194 0.708 20
-2.372 4.726 -1.212 21
-3.864 7.063 2.614 20
-2.878 3.683 3.521 20
-0.749 -0.83 2.98 20
1.33 -2.823 4.618 20
1.9 -2.554 2.571 20
2.775 -0.563 -2.338 21
3.737 1.291 -2.371 20
3.518 1.22 -0.551 20
1.632 -0.061 0.227 20
-0.665 -0.639 0.17 20
-2.239 0.131 -0.43 20
-3.251 1.202 0.011 21
-3.337 1.47 0.982 20
-2.135 0.792 0.817 20
0.085 -0.351 -0.747 20
2.051 -1.019 -1.701 20
2.657 -1.24 -0.627 21
2.089 -1.737 1.118 20
1.934 -2.322 1.416 20
1.892 -3.082 -0.046 20
1.616 -4.293 -1.467 20
1.646 -4.64 -1.997 20
0.421 -2.026 -2.931 21
-0.487 0.529 -1.601 20
-1.602 0.873 -1.631 20
-4.027 -1.356 -0.868 20
-6.093 -3.107 3.967 20
-7.711 -2.421 5.948 21
-5.396 -1.243 0.018 20
1.27 -1.052 -4.148 20
1.967 0.447 -1.218 20
1.237 2.476 1.122 20
3.179 3.332 1.05 20
3.566 4.34 0.331 21
2.591 5.336 1.059 20
1.695 5.651 1.087 20
0.801 5.168 0.907 20
-0.319 4.729 0.654 20
-1.128 4.627 0.373 20
-1.558 4.774 -0.924 21
-1.532 5.015 -3.359 20
-1.432 4.867 -4.888 20
-1.08 2.241 -4.392 20
0.726 -3.141 -3.091 20
6.787 -11.468 -4.847 21
10.243 -16.481 -3.431 20
5.017 -6.362 -3.609 20
-0.151 3.331 -0.959 20
-4.444 4.377 4.556 20
-7.606 -1.881 6.767 20
-5.798 -7.11 4.295 21
-1.048 -3.944 -4.078 20
0.021 3.672 -0.055 20
-2.011 7.772 6.706 20
-1.51 6.301 7.264 20
1.001 1.951 4.287 20
3.3 -2.69 1.86 21
2.567 -4.459 0.128 20
1.403 -0.956 -3.228 20
0.37 2.601 -2.834 20
-0.447 2.154 0.185 20
-0.656 -0.141 2.093 21
-0.069 -1.067 1.701 20
0.536 -0.273 -0.163 20
-0.331 0.834 -0.953 20
-1.932 1.007 0.056 20
-2.442 0.475 0.71 20
-1.424 -0.143 0.218 21
0.44 -0.56 -0.648 20
1.867 -1.219 -1.141 20
2.253 -2.333 -0.633 20
1.901 -2.209 0.171 20
2.105 -1.781 0.314 20
1.869 -2.895 -0.928 21
1.69 -4.287 -2.088 20
1.431 -3.272 -2.412 20
0.434 0.004 -1.437 20
