# Accelerometer Data File
# Started @Sun Jan 24 21:08:29 GMT+02:00 2021
#
#
# sensor Vendor: BOSCH
# sensor Name: BMI160 Accelerometer Non-wakeup
# sensor Resolution: 0.0023928226m/sec^2; Max Range: 78.4532; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:NORMAL
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
-1.777 1.978 0.321 20
-0.791 1.785 1.27 20
-0.94 1.895 1.331 21
-1.337 2.135 0.243 20
-1.048 1.537 0.145 20
-0.534 1.261 0.482 20
-0.25 1.335 0.162 20
-0.593 1.102 -1.14 20
0.53 0.604 -0.955 21
1.113 0.682 -0.728 20
1.144 0.083 -0.157 20
0.59 -0.224 -0.137 20
0.431 -0.271 -0.315 20
0.755 -0.543 0.207 20
1.263 -0.801 0.587 21
1.21 -0.881 -0.965 20
1.124 -1.392 -1.273 20
1.427 -1.671 0.804 20
1.345 -1.504 0.413 20
0.963 -1.888 -0.565 21
0.914 -2.133 0.161 20
0.872 -1.775 0.13 20
0.614 -1.449 -1.006 20
0.574 -1.825 -1.198 20
0.661 -2.537 -0.565 20
0.231 -3.045 -0.379 21
0.223 -3.428 -0.111 20
-0.018 -3.62 0.635 20
-0.137 -3.43 1.237 20
-0.658 -2.77 0.702 20
-1.11 -1.93 0.125 21
-0.917 -1.315 0.815 20
-0.403 -1.045 1.212 20
0.083 -0.904 0.772 20
0.601 -1.258 0.011 20
1.243 -1.828 -0.392 20
1.425 -2.111 -0.566 21
0.942 -1.154 0.069 20
0.352 0.142 0.627 20
0.537 0.956 0.53 20
0.608 1.086 0.57 20
0.491 0.607 1.259 20
0.718 -0.141 1.044 21
0.64 -0.974 -0.295 20
0.892 -1.538 -0.994 20
0.754 -1.272 -0.597 20
0.008 -0.231 -0.306 20
-0.419 0.651 -0.067 21
-0.248 0.964 -0.086 20
0.015 0.934 -0.265 20
