# Accelerometer Data File
# Started @Tue Jan 26 20:20:14 GMT+02:00 2021
#
#
# sensor Vendor: BOSCH
# sensor Name: BMI160 Accelerometer Non-wakeup
# sensor Resolution: 0.0023928226m/sec^2; Max Range: 78.4532; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:NORMAL
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
-3.788 8.635 1.759 20
-3.37 7.084 -3.325 21
0.079 2.262 -16.764 20
6.395 -17.643 19.132 20
-4.228 -32.736 9.171 20
-4.739 -22.171 -5.533 20
-0.337 -1.216 5.993 20
3.838 1.211 12.511 21
8.46 -2.19 9.822 20
15.328 -5.529 5.226 20
19.644 -6.554 -1.035 20
13.797 -2.686 -20.011 20
2.457 -0.445 -16.96 20
-3.917 2.727 -0.321 21
-4.444 4.207 -12.604 20
0.337 2.361 -12.005 20
2.72 4.121 1.007 20
0.264 7.019 5.744 20
-1.85 8.483 2.856 21
-2.7 8.845 0.415 20
-3.012 8.277 -0.562 20
-2.237 6.968 -5.102 20
3.093 0.927 11.937 20
12.688 -13.088 2.691 20
12.924 -27.944 1.143 21
6.913 -31.73 6.634 20
-1.14 -9.17 7.974 20
-5.767 4.461 0.59 20
-6.029 8.284 -4.06 20
-5.739 11.757 0.93 20
-4.803 13.431 1.264 21
-4.646 14.472 -2.138 20
-5.222 13.592 -2.463 20
-5.907 10.12 -1.307 20
-6.054 8.351 -1.48 20
-5.701 8.247 -0.755 20
-5.131 8.444 2.377 21
-5.609 8.977 2.53 20
-5.809 7.832 2.018 20
-4.778 6.358 -0.212 20
-2.5 2.767 -1.044 20
7.91 -10.104 6.702 21
14.35 -29.814 2.084 20
6.643 -33.827 -7.329 20
-7.188 -4.676 3.307 20
-2.259 1.905 17.05 20
8.651 -4.33 16.546 20
20.447 -5.911 1.572 21
24.178 -0.842 -7.831 20
14.525 6.242 -27.715 20
-1.153 6.954 -6.656 20
-9.782 4.946 -2.671 20
-8.705 0.165 -13.054 20
-0.168 -1.198 -4.41 21
-0.235 3.239 3.964 20
-3.113 6.503 2.912 20
-3.938 7.17 -1.858 20
-4.114 6.533 -2.073 20
-1.091 3.206 -2.14 21
10.189 -5.686 7.389 20
16.414 -16.58 7.161 20
6.502 -22.067 5.326 20
7.335 -21.628 4.41 20
1.783 -11.738 5.905 20
-12.416 -1.919 -1.271 21
-9.974 6.033 -3.063 20
-3.964 11.311 3.71 20
-6.855 15.777 1.317 20
-9.248 16.836 0.202 20
-8.662 12.94 -1.087 20
-8.438 8.94 -1.42 21
-7.262 8.465 -2.774 20
-6.021 9.862 -4.405 20
-6.497 10.262 -3.311 20
-6.651 9.074 -0.58 20
-5.326 7.488 1.07 20
-0.928 3.458 -2.473 21
10.226 -9.027 11.406 20
12.981 -18.128 5.919 20
3.02 -21.5 -6.295 20
-6.123 -9.942 10.395 20
-7.711 -4.482 12.84 21
3.308 -11.358 1.281 20
20.634 -16.228 3.8 20
18.597 -3.556 6.322 20
13.999 5.474 -17.341 20
5.318 8.499 -11.815 20
-1.596 8.925 -10.178 21
-5.72 6.758 -9.025 20
-5.321 4.019 -3.127 20
-2.299 3.538 0.634 20
-1.706 4.965 3.389 20
-2.584 6.617 -0.895 21
-3.925 6.833 -3.951 20
-3.064 4.72 -5.394 20
5.96 -2.706 2.112 20
16.357 -15.655 4.171 20
11.748 -25.329 11.226 20
3.323 -30.035 4.427 21
-3.002 -15.896 2.324 20
-12.438 -0.716 2.359 20
-9.215 7.382 -2.078 20
-4.048 10.992 2.079 20
-5.351 14.819 0.922 20
-7.502 17.095 -0.355 21
-7.409 14.896 -1.279 20
-6.981 10.636 -0.616 20
-6.509 9.042 -2.439 20
-5.253 9.106 -6.084 20
-3.839 9.392 -3.361 20
-3.442 8.651 1.491 21
-2.587 8.133 1.219 20
0.866 6.306 -5.861 20
3.175 -1.486 -2.261 20
2.769 -11.453 12.73 20
1.328 -24.7 10.511 20
1.975 -28.607 5.464 21
-5.81 -14.846 1.527 20
-4.751 -3.403 9.465 20
10.856 -6.221 2.78 20
23.226 -7.66 6.315 20
18.439 1.711 0.162 21
8.18 9.504 -19.56 20
1.216 8.7 -5.662 20
-2.439 6.131 -3.003 20
-6.636 5.154 -9.918 20
-6.563 3.955 -6.507 20
-1.289 2.846 -0.193 21
-0.312 3.993 -0.342 20
-1.732 5.228 -2.123 20
-3.704 6.391 -3.424 20
-4.138 6.666 -4.722 20
2.299 1.659 1.661 20
15.412 -11.228 0.412 21
15.699 -21.04 9.482 20
1.538 -28.886 10.338 20
-2.982 -21.726 6.187 20
-8.762 -6.01 0.532 20
-12.855 3.583 -2.61 20
-4.795 8.737 -0.092 21
0.704 11.089 -0.061 20
-4.423 14.166 -0.839 20
-6.117 14.535 -1.467 20
-6.465 11.977 -3.058 20
-6.504 9.842 -1.745 21
-5.92 9.563 -4.645 20
